Date,ClosePrice
22-Sep-23,$44.34 
25-Sep-23,$44.15 
26-Sep-23,$43.30 
27-Sep-23,$43.49 
28-Sep-23,$43.73 
29-Sep-23,$44.25 
2-Oct-23,$44.60 
3-Oct-23,$43.84 
4-Oct-23,$43.72 
5-Oct-23,$43.43 
6-Oct-23,$43.97 
9-Oct-23,$44.03 
10-Oct-23,$44.15 
11-Oct-23,$44.73 
12-Oct-23,$44.84 
13-Oct-23,$45.01 
16-Oct-23,$45.18 
17-Oct-23,$45.57 
18-Oct-23,$45.88 
19-Oct-23,$45.23 
20-Oct-23,$44.43 
23-Oct-23,$43.36 
24-Oct-23,$43.59 
25-Oct-23,$44.72 
26-Oct-23,$44.93 
27-Oct-23,$45.06 
30-Oct-23,$45.11 
31-Oct-23,$44.50 
1-Nov-23,$45.19 
2-Nov-23,$45.38 
3-Nov-23,$45.50 
6-Nov-23,$45.44 
7-Nov-23,$45.56 
8-Nov-23,$44.70 
9-Nov-23,$44.95 
10-Nov-23,$45.27 
13-Nov-23,$45.40 
14-Nov-23,$46.02 
15-Nov-23,$46.84 
16-Nov-23,$46.56 
17-Nov-23,$46.61 
20-Nov-23,$46.74 
21-Nov-23,$47.40 
22-Nov-23,$47.84 
23-Nov-23,$47.15 
24-Nov-23,$47.21 
27-Nov-23,$46.52 
28-Nov-23,$46.43 
29-Nov-23,$46.19 
30-Nov-23,$46.30 
1-Dec-23,$46.34 
4-Dec-23,$47.14 
5-Dec-23,$46.52 
6-Dec-23,$47.23 
7-Dec-23,$47.42 
8-Dec-23,$47.74 
11-Dec-23,$47.54 
12-Dec-23,$47.56 
13-Dec-23,$47.87 
14-Dec-23,$48.25 
15-Dec-23,$49.41 
18-Dec-23,$49.34 
19-Dec-23,$49.62 
20-Dec-23,$49.80 
21-Dec-23,$49.74 
22-Dec-23,$49.73 
27-Dec-23,$50.26 
28-Dec-23,$50.72 
29-Dec-23,$50.41 
2-Jan-24,$50.54 
3-Jan-24,$49.77 
4-Jan-24,$49.58 
5-Jan-24,$49.07 
8-Jan-24,$48.66 
9-Jan-24,$48.97 
10-Jan-24,$47.86 
11-Jan-24,$47.81 
12-Jan-24,$47.71 
15-Jan-24,$47.18 
16-Jan-24,$46.50 
17-Jan-24,$46.57 
18-Jan-24,$45.73 
19-Jan-24,$45.73 
22-Jan-24,$45.85 
23-Jan-24,$46.30 
24-Jan-24,$46.86 
25-Jan-24,$47.54 
29-Jan-24,$46.87 
30-Jan-24,$47.05 
31-Jan-24,$47.27 
1-Feb-24,$47.11 
2-Feb-24,$47.61 
5-Feb-24,$46.45 
6-Feb-24,$45.96 
7-Feb-24,$46.44 
8-Feb-24,$46.42 
9-Feb-24,$46.30 
12-Feb-24,$46.07 
13-Feb-24,$46.32 
14-Feb-24,$45.95 
15-Feb-24,$45.17 
