Date,ClosePrice
22-Sep-23,$100.06 
25-Sep-23,$99.88 
26-Sep-23,$100.08 
27-Sep-23,$100.53 
28-Sep-23,$99.95 
29-Sep-23,$99.97 
2-Oct-23,$99.85 
3-Oct-23,$99.69 
4-Oct-23,$98.09 
5-Oct-23,$98.98 
6-Oct-23,$100.04 
9-Oct-23,$100.03 
10-Oct-23,$100.70 
11-Oct-23,$100.64 
12-Oct-23,$101.60 
13-Oct-23,$100.97 
16-Oct-23,$100.67 
17-Oct-23,$101.20 
18-Oct-23,$101.42 
19-Oct-23,$99.78 
20-Oct-23,$98.75 
23-Oct-23,$97.82 
24-Oct-23,$98.07 
25-Oct-23,$97.35 
26-Oct-23,$97.00 
27-Oct-23,$97.80 
30-Oct-23,$96.22 
31-Oct-23,$96.56 
1-Nov-23,$96.87 
2-Nov-23,$98.43 
3-Nov-23,$99.93 
6-Nov-23,$100.42 
7-Nov-23,$100.01 
8-Nov-23,$100.69 
9-Nov-23,$102.11 
10-Nov-23,$101.32 
13-Nov-23,$101.31 
14-Nov-23,$102.28 
15-Nov-23,$102.15 
16-Nov-23,$102.29 
17-Nov-23,$102.47 
20-Nov-23,$103.17 
21-Nov-23,$103.70 
22-Nov-23,$103.80 
23-Nov-23,$102.96 
24-Nov-23,$103.69 
27-Nov-23,$102.61 
28-Nov-23,$103.34 
29-Nov-23,$103.33 
30-Nov-23,$104.66 
1-Dec-23,$104.19 
4-Dec-23,$105.12 
5-Dec-23,$104.71 
6-Dec-23,$106.34 
7-Dec-23,$106.27 
8-Dec-23,$106.44 
11-Dec-23,$106.94 
12-Dec-23,$107.41 
13-Dec-23,$108.15 
14-Dec-23,$109.52 
15-Dec-23,$110.07 
18-Dec-23,$110.00 
19-Dec-23,$110.60 
20-Dec-23,$110.97 
21-Dec-23,$110.56 
22-Dec-23,$110.50 
27-Dec-23,$111.19 
28-Dec-23,$112.29 
29-Dec-23,$111.80 
2-Jan-24,$113.61 
3-Jan-24,$112.13 
4-Jan-24,$111.49 
5-Jan-24,$112.99 
8-Jan-24,$111.98 
9-Jan-24,$113.02 
10-Jan-24,$112.04 
11-Jan-24,$113.60 
12-Jan-24,$113.63 
15-Jan-24,$113.66 
16-Jan-24,$113.00 
17-Jan-24,$112.33 
18-Jan-24,$112.48 
19-Jan-24,$113.28 
22-Jan-24,$114.80 
23-Jan-24,$115.66 
24-Jan-24,$114.70 
25-Jan-24,$114.86 
29-Jan-24,$115.92 
30-Jan-24,$116.05 
31-Jan-24,$117.53 
1-Feb-24,$114.10 
2-Feb-24,$115.81 
5-Feb-24,$115.48 
6-Feb-24,$114.37 
7-Feb-24,$114.55 
8-Feb-24,$115.87 
9-Feb-24,$116.24 
12-Feb-24,$115.73 
13-Feb-24,$116.00 
14-Feb-24,$114.07 
15-Feb-24,$114.16 
16-Feb-24,$116.28 
19-Feb-24,$117.13 
