Date,ClosePrice
22-Sep-23,$53.23 
25-Sep-23,$53.55 
26-Sep-23,$53.19 
27-Sep-23,$53.08 
28-Sep-23,$52.65 
29-Sep-23,$52.86 
2-Oct-23,$52.55 
3-Oct-23,$52.72 
4-Oct-23,$52.39 
5-Oct-23,$52.57 
6-Oct-23,$51.65 
9-Oct-23,$51.55 
10-Oct-23,$52.17 
11-Oct-23,$52.66 
12-Oct-23,$52.96 
13-Oct-23,$52.85 
16-Oct-23,$52.70 
17-Oct-23,$52.53 
18-Oct-23,$52.58 
19-Oct-23,$51.70 
20-Oct-23,$51.27 
23-Oct-23,$51.24 
24-Oct-23,$51.12 
25-Oct-23,$50.82 
26-Oct-23,$50.37 
27-Oct-23,$50.33 
30-Oct-23,$50.16 
31-Oct-23,$50.52 
1-Nov-23,$51.02 
2-Nov-23,$51.43 
3-Nov-23,$52.32 
6-Nov-23,$52.59 
7-Nov-23,$52.79 
8-Nov-23,$52.81 
9-Nov-23,$53.08 
10-Nov-23,$53.08 
13-Nov-23,$52.86 
14-Nov-23,$53.24 
15-Nov-23,$54.19 
16-Nov-23,$53.99 
17-Nov-23,$53.00 
20-Nov-23,$53.18 
21-Nov-23,$52.77 
22-Nov-23,$52.77 
23-Nov-23,$52.50 
24-Nov-23,$52.35 
27-Nov-23,$52.04 
28-Nov-23,$52.22 
29-Nov-23,$52.72 
30-Nov-23,$52.66 
1-Dec-23,$52.21 
4-Dec-23,$52.74 
5-Dec-23,$52.42 
6-Dec-23,$53.30 
7-Dec-23,$53.28 
8-Dec-23,$53.70 
11-Dec-23,$54.30 
12-Dec-23,$54.33 
13-Dec-23,$54.38 
14-Dec-23,$54.57 
15-Dec-23,$55.09 
18-Dec-23,$54.83 
19-Dec-23,$55.53 
20-Dec-23,$56.11 
21-Dec-23,$55.94 
22-Dec-23,$55.80 
27-Dec-23,$56.40 
28-Dec-23,$57.12 
29-Dec-23,$57.04 
2-Jan-24,$57.51 
3-Jan-24,$56.95 
4-Jan-24,$56.78 
5-Jan-24,$56.74 
8-Jan-24,$56.41 
9-Jan-24,$56.87 
10-Jan-24,$57.00 
11-Jan-24,$57.30 
12-Jan-24,$57.46 
15-Jan-24,$57.54 
16-Jan-24,$56.98 
17-Jan-24,$57.05 
18-Jan-24,$57.11 
19-Jan-24,$57.16 
22-Jan-24,$58.10 
23-Jan-24,$57.95 
24-Jan-24,$57.50 
25-Jan-24,$58.45 
29-Jan-24,$57.89 
30-Jan-24,$57.91 
31-Jan-24,$58.17 
1-Feb-24,$58.02 
2-Feb-24,$58.86 
5-Feb-24,$58.22 
6-Feb-24,$58.07 
7-Feb-24,$57.55 
8-Feb-24,$57.80 
9-Feb-24,$58.11 
12-Feb-24,$58.18 
13-Feb-24,$58.28 
14-Feb-24,$58.94 
15-Feb-24,$61.91 
16-Feb-24,$62.95 
19-Feb-24,$63.99 
20-Feb-24,$63.01 
21-Feb-24,$63.82 
22-Feb-24,$63.65 
23-Feb-24,$64.98 
26-Feb-24,$66.15 
27-Feb-24,$66.59 
28-Feb-24,$65.94 
29-Feb-24,$66.64 
1-Mar-24,$66.39 
4-Mar-24,$66.27 
5-Mar-24,$65.08 
6-Mar-24,$65.54 
7-Mar-24,$66.51 
8-Mar-24,$67.05 
11-Mar-24,$66.07 
12-Mar-24,$66.48 
13-Mar-24,$67.50 
14-Mar-24,$67.32 
15-Mar-24,$67.12 
18-Mar-24,$66.51 
19-Mar-24,$66.06 
20-Mar-24,$66.16 
21-Mar-24,$67.04 
22-Mar-24,$67.24 
25-Mar-24,$67.42 
26-Mar-24,$67.13 
27-Mar-24,$67.58 
28-Mar-24,$68.40 
2-Apr-24,$67.70 
3-Apr-24,$66.50 
4-Apr-24,$66.63 
5-Apr-24,$66.62 
8-Apr-24,$66.95 
9-Apr-24,$67.22 
10-Apr-24,$67.90 
